Workflow,Ambiente,Repeticao,Tempo_Segundos,Memoria_Pico_MB,Status
Desempenho: Grafos,Python,10,0.5773606300354004,9.73046875,SUCESSO
Desempenho: Grafos,VisTrails,1,1.1349999904632568,8.734375,SUCESSO
Desempenho: Grafos,VisTrails,2,1.2090001106262207,8.73828125,SUCESSO
Desempenho: Grafos,VisTrails,3,1.1200001239776611,8.73828125,SUCESSO
Desempenho: Grafos,VisTrails,4,1.1589999198913574,8.734375,SUCESSO
Desempenho: Grafos,VisTrails,5,1.1719999313354492,8.734375,SUCESSO
Desempenho: Grafos,VisTrails,6,1.1440000534057617,8.73828125,SUCESSO
Desempenho: Grafos,VisTrails,7,1.121000051498413,8.734375,SUCESSO
Desempenho: Grafos,VisTrails,8,1.0989999771118164,8.734375,SUCESSO
Desempenho: Grafos,VisTrails,9,1.1560001373291016,8.734375,SUCESSO
Desempenho: Grafos,VisTrails,10,1.1110000610351562,8.73828125,SUCESSO
Desempenho: Merge,Python,1,0.07690238952636719,10.14453125,SUCESSO
Desempenho: Merge,Python,2,0.07644343376159668,10.24609375,SUCESSO
Desempenho: Merge,Python,3,0.07699275016784668,10.2109375,SUCESSO
Desempenho: Merge,Python,4,0.09377694129943848,9.71875,SUCESSO
Desempenho: Merge,Python,5,0.5275671482086182,10.53515625,SUCESSO
Desempenho: Merge,Python,6,0.06159806251525879,10.078125,SUCESSO
Desempenho: Merge,Python,7,0.07691669464111328,10.23046875,SUCESSO
Desempenho: Merge,Python,8,0.06459450721740723,10.20703125,SUCESSO
Desempenho: Merge,Python,9,0.09465622901916504,9.76953125,SUCESSO
Desempenho: Merge,Python,10,0.5744082927703857,10.02734375,SUCESSO
Desempenho: Merge,VisTrails,1,1.1410000324249268,8.73828125,SUCESSO
Desempenho: Merge,VisTrails,2,1.1530001163482666,8.734375,SUCESSO
Desempenho: Merge,VisTrails,3,1.2329998016357422,8.73046875,SUCESSO
Desempenho: Merge,VisTrails,4,1.2129998207092285,8.73046875,SUCESSO
Desempenho: Merge,VisTrails,5,1.1150000095367432,8.734375,SUCESSO
Desempenho: Merge,VisTrails,6,1.1630001068115234,8.73828125,SUCESSO
Desempenho: Merge,VisTrails,7,1.0950000286102295,8.7265625,SUCESSO
Desempenho: Merge,VisTrails,8,1.1410000324249268,8.734375,SUCESSO
Desempenho: Merge,VisTrails,9,1.1619999408721924,8.734375,SUCESSO
Desempenho: Merge,VisTrails,10,1.2790000438690186,8.73046875,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,1,0.5892491340637207,9.62890625,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,2,0.5525565147399902,9.31640625,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,3,0.061129093170166016,9.49609375,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,4,0.5593216419219971,9.08203125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,5,0.06198549270629883,9.61328125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,6,0.06322336196899414,10.05078125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,7,0.07856559753417969,9.625,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,8,0.062084197998046875,9.19140625,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,9,0.04730653762817383,8.921875,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,Python,10,0.1087956428527832,9.5703125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,1,1.1380000114440918,8.734375,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,2,1.0920000076293945,8.734375,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,3,1.309000015258789,8.73046875,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,4,1.1899998188018799,8.734375,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,5,1.1469998359680176,8.73828125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,6,1.1059999465942383,8.73828125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,7,1.1820001602172852,8.73046875,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,8,1.1670000553131104,8.73828125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,9,1.196000099182129,8.73828125,SUCESSO
Desempenho: CONTAGEM_PALAVRAS,VisTrails,10,1.1059999465942383,8.73828125,SUCESSO
Matemática: SOMA,Python,1,0.07680797576904297,9.3203125,SUCESSO
Matemática: SOMA,Python,2,0.12400984764099121,8.1171875,SUCESSO
Matemática: SOMA,Python,3,0.04554939270019531,8.5234375,SUCESSO
Matemática: SOMA,Python,4,0.04721426963806152,8.1796875,SUCESSO
Matemática: SOMA,Python,5,0.09217119216918945,9.1328125,SUCESSO
Matemática: SOMA,Python,6,0.5005357265472412,8.37109375,SUCESSO
Matemática: SOMA,Python,7,0.06203103065490723,9.03125,SUCESSO
Matemática: SOMA,Python,8,0.10852408409118652,8.2734375,SUCESSO
Matemática: SOMA,Python,9,0.04693245887756348,8.95703125,SUCESSO
Matemática: SOMA,Python,10,0.04854726791381836,8.9921875,SUCESSO
Matemática: SOMA,VisTrails,1,1.249000072479248,8.73046875,SUCESSO
Matemática: SOMA,VisTrails,2,1.3020000457763672,8.73828125,SUCESSO
Matemática: SOMA,VisTrails,3,1.253000020980835,8.734375,SUCESSO
Matemática: SOMA,VisTrails,4,1.1800000667572021,8.734375,SUCESSO
Matemática: SOMA,VisTrails,5,1.2249999046325684,8.73046875,SUCESSO
Matemática: SOMA,VisTrails,6,1.191999912261963,8.73046875,SUCESSO
Matemática: SOMA,VisTrails,7,1.180999994277954,8.734375,SUCESSO
Matemática: SOMA,VisTrails,8,1.2639999389648438,8.73828125,SUCESSO
Matemática: SOMA,VisTrails,9,1.2760000228881836,8.73828125,SUCESSO
Matemática: SOMA,VisTrails,10,1.25600004196167,8.734375,SUCESSO
Matemática: SOMA_MATRIZES,Python,1,0.06180143356323242,8.91015625,SUCESSO
Matemática: SOMA_MATRIZES,Python,2,0.5777952671051025,9.6484375,SUCESSO
Matemática: SOMA_MATRIZES,Python,3,0.5905358791351318,8.14453125,SUCESSO
Matemática: SOMA_MATRIZES,Python,4,0.5548205375671387,9.1875,SUCESSO
Matemática: SOMA_MATRIZES,Python,5,0.07802391052246094,8.265625,SUCESSO
Matemática: SOMA_MATRIZES,Python,6,0.12291622161865234,8.21875,SUCESSO
Matemática: SOMA_MATRIZES,Python,7,0.06076383590698242,9.4609375,SUCESSO
Matemática: SOMA_MATRIZES,Python,8,0.06328248977661133,9.33203125,SUCESSO
Matemática: SOMA_MATRIZES,Python,9,0.06191706657409668,8.89453125,SUCESSO
Matemática: SOMA_MATRIZES,Python,10,0.06176018714904785,9.62890625,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,1,1.1970000267028809,8.734375,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,2,1.1359999179840088,8.73828125,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,3,1.0840001106262207,8.73828125,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,4,1.0950000286102295,8.734375,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,5,1.1689999103546143,8.73828125,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,6,1.0770001411437988,8.734375,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,7,1.1340000629425049,8.734375,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,8,1.190000057220459,8.734375,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,9,1.1010000705718994,8.734375,SUCESSO
Matemática: SOMA_MATRIZES,VisTrails,10,1.184999942779541,8.73046875,SUCESSO
IO: LOGS,Python,1,0.17075824737548828,9.87109375,SUCESSO
IO: LOGS,Python,2,0.6392374038696289,9.92578125,SUCESSO
IO: LOGS,Python,3,0.13978791236877441,9.87890625,SUCESSO
IO: LOGS,Python,4,0.23126602172851562,9.8984375,SUCESSO
IO: LOGS,Python,5,0.14042282104492188,9.9140625,SUCESSO
IO: LOGS,Python,6,0.15516138076782227,9.9296875,SUCESSO
IO: LOGS,Python,7,0.2942183017730713,9.92578125,SUCESSO
IO: LOGS,Python,8,0.641467809677124,9.94921875,SUCESSO
IO: LOGS,Python,9,0.1554880142211914,9.98828125,SUCESSO
IO: LOGS,Python,10,0.17166638374328613,9.93359375,SUCESSO
IO: LOGS,VisTrails,1,1.2340002059936523,8.734375,SUCESSO
IO: LOGS,VisTrails,2,1.2839999198913574,8.73828125,SUCESSO
IO: LOGS,VisTrails,3,1.1760001182556152,8.73828125,SUCESSO
IO: LOGS,VisTrails,4,1.3239998817443848,8.73046875,SUCESSO
IO: LOGS,VisTrails,5,1.1779999732971191,8.734375,SUCESSO
IO: LOGS,VisTrails,6,1.2879998683929443,8.734375,SUCESSO
IO: LOGS,VisTrails,7,1.2450001239776611,8.734375,SUCESSO
IO: LOGS,VisTrails,8,1.301999807357788,8.73828125,SUCESSO
IO: LOGS,VisTrails,9,1.2409999370574951,8.734375,SUCESSO
